Name,City,job,Salary,Time,Shift,Age,Gender,Rank,,,,
sonu,Khanna,Packing,250,10:00,Morning(8:00-12:00),slotC,Male,1,,,,
damanjeet singh,Amritsar,Sweeping,400,09:00,Morning(8:00-12:00),slotB,Female,2,,,,
hazari,Amritsar,Sweeping,200,10:30,Morning(8:00-12:00),slotB,Male,3,,,,
irsad khan,Hoshiarpur,Plumbing,350,09:30,Morning(8:00-12:00),slotA,Male,4,,,,
sany@aman,Mohali,Plumbing,350,17:00,Evening(16:01-19:00),slotA,Male,5,,,,
jai ram tiwari,Batala,Salesperson,200,21:00,Night(19:01:22:00),slotB,Male,6,,,,
shubham yadav,Sunam,Tuitions,150,15:00,Afternoon(12:01-16:00),slotB,Female,7,,,,
tamsa,Patiala,Tuitions,250,15:30,Afternoon(12:01-16:00),slotC,Female,8,,,,
bhushan sahay,Jalandhar,Packing,400,15:30,Afternoon(12:01-16:00),slotB,Male,9,,,,
jeeya lal,Mohali,Sweeping,300,09:30,Morning(8:00-12:00),slotB,Male,10,,,,
jagat singh,Sunam,Plumbing,150,15:00,Afternoon(12:01-16:00),slotA,Male,11,,,,
boby kumar yadav,Ludhiana,Plumbing,150,18:30,Evening(16:01-19:00),slotA,Male,12,,,,
rakesh kumar,Bathinda,Painter,400,13:00,Afternoon(12:01-16:00),slotA,Male,13,,,,
babu lal,Moga,Promotions,150,14:00,Afternoon(12:01-16:00),slotC,Male,14,,,,
krishana,Firozpur,Promotions,400,10:30,Morning(8:00-12:00),slotC,Male,15,,,,
amkit,Khanna,Labour,350,17:00,Evening(16:01-19:00),slotB,Male,16,,,,
tahir,Kapurthala,BrochureDistribution,350,10:00,Morning(8:00-12:00),slotC,Male,17,,,,
bindiya,Pathankot,CarWashing,250,11:30,Morning(8:00-12:00),slotC,Female,18,,,,
jaya saini,Patiala,CarWashing,200,18:00,Evening(16:01-19:00),slotC,Male,19,,,,
raman @ rancho,Phagwara,Packing,450,12:00,Morning(8:00-12:00),slotA,Female,20,,,,
ramsurat,Firozpur,Labour,350,20:00,Night(19:01:22:00),slotB,Male,21,,,,
sahar bano,Jalandhar,Helper,300,16:30,Evening(16:01-19:00),slotB,Male,22,,,,
hariom,Phagwara,Sweeping,250,20:00,Night(19:01:22:00),slotA,Male,23,,,,
rajan,Batala,BrandingOfProducts,300,16:30,Evening(16:01-19:00),slotA,Female,24,,,,
kishan lal,Pathankot,Electrician,250,12:00,Morning(8:00-12:00),slotC,Male,25,,,,
pulkit,Ludhiana,ProductsSampling,200,13:00,Afternoon(12:01-16:00),slotA,Male,26,,,,
kusum,Phagwara,Electrician,150,10:00,Morning(8:00-12:00),slotB,Male,27,,,,
mohd nihal,Ludhiana,BrochureDistribution,200,20:30,Night(19:01:22:00),slotB,Female,28,,,,
kanta prasad,Khanna,Salesperson,400,08:00,Morning(8:00-12:00),slotA,Male,29,,,,
akash malik,Batala,Salesperson,400,21:30,Night(19:01:22:00),slotC,Male,30,,,,
